,Gene.Name,Gene.products,agg,moundUp,cellCycle,stream_down,stream_up,tight_down,tight_up,rib
DDB_G0294256,DDB_G0294256_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294262,DDB_G0294262_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294264,DDB_G0294264_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294266,DDB_G0294266_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294268,DDB_G0294268_TE,Tdd-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294270,DDB_G0294270,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294272,DDB_G0294272,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294274,DDB_G0294274,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294276,DDB_G0294276,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294278,DDB_G0294278,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294280,DDB_G0294280_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294282,DDB_G0294282_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294286,DDB_G0294286_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294288,DDB_G0294288_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294300,DDB_G0294300_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294302,DDB_G0294302,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294308,DDB_G0294308_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294310,DDB_G0294310_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294314,DDB_G0294314,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294320,DDB_G0294320_RTE,Skipper GAG-PRO-POL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294322,DDB_G0294322_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294324,DDB_G0294324_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294326,DDB_G0294326_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294328,DDB_G0294328_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294332,DDB_G0294332_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294336,DDB_G0294336_RTE,DGLT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294338,DDB_G0294338_RTE,DGLT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294340,DDB_G0294340_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294342,DDB_G0294342_RTE,DIRS1 ORF2/ORF3 fusion fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294344,DDB_G0294344_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294346,DDB_G0294346_RTE,DIRS1 ORF1/ORF3 fusion fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294352,DDB_G0294352_TE,DDT-B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294358,DDB_G0294358_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294360,DDB_G0294360_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294362,DDB_G0294362_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294364,DDB_G0294364_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294366,DDB_G0294366,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294368,DDB_G0294368,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294370,DDB_G0294370_RTE,DGLT-B RT_RNAseH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294372,DDB_G0294372_RTE,DGLT-B IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294374,DDB_G0294374_RTE,DGLT-B ORF4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294376,fcpA,putative CTD phosphatase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294667,tRNA-Thr-AGU-1,threonine transfer RNA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294669,tRNA-Thr-AGU-2,threonine transfer RNA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294380,DDB_G0294380,putative ubiquitin-conjugating enzyme E2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294382,DDB_G0294382,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294384,DDB_G0294384_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294388,DDB_G0294388,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294296,DDB_G0294296_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294294,DDB_G0294294,chromo (CHRomatin Organization MOdifier) domain-containing protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294292,DDB_G0294292,unclassified GTPase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294290,DDB_G0294290,xeroderma pigmentosum group G (XPG) family protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271114,DDB_G0271114,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271112,DDB_G0271112,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271110,DDB_G0271110,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271096,atg7,autophagy protein 7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0295505,rnu6,"snRNA, small nuclear RNA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271118,DDB_G0271118_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271108,DDB_G0271108,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271120,DDB_G0271120,protein kinase C substrate 80K-H homolog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271122,ufd1,ubiquitin fusion degradation protein UFD1 family protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271106,sod2,"superoxide dismutase, putative mitochondrial superoxide dismutase",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271124,DDB_G0271124,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271104,DDB_G0271104,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271126,plbB,phospholipase B-like protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271128,DDB_G0271128_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271102,DDB_G0271102,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271130,DDB_G0271130,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271100,DDB_G0271100,Exosome complex component RRP45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271098,DDB_G0271098,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271132,DDB_G0271132,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271350,DDB_G0271350,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271354,DDB_G0271354,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271142,proC,profilin III,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271134,celA,cellulase 270-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271348,DDB_G0271348,"peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271346,yod1,"C2H2-type zinc finger-containing protein, ubiquitin thioesterase OTU1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271344,idhA,"isocitrate dehydrogenase (NAD+), isocitrate dehydrogenase (NAD+) alpha subunit",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271146,udkD,"adenylate cyclase domain-containing protein, phosphoribulokinase/uridine kinase family protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271356,DDB_G0271356,LIM-type zinc finger-containing protein,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271342,dgat1,diacylglycerol O-acyltransferase 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271340,DDB_G0271340,acyl-CoA oxidase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271358,DDB_G0271358,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271338,taf7,"transcription initiation factor TFIID subunit, TFIID subunit",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271136,gafA,GAF domain-containing protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271336,DDB_G0271336,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DDB_G0271360,DDB_G0271360,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271334,DDB_G0271334,"C2 calcium/lipid-binding (CaLB) region-containing protein, dilute domain-containing protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271332,DDB_G0271332,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271362,DDB_G0271362,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271330,DDB_G0271330,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271328,DDB_G0271328_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271326,DDB_G0271326,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271324,DDB_G0271324,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271364,DDB_G0271364_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271322,DDB_G0271322_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271320,DDB_G0271320,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271366,DDB_G0271366,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271368,DDB_G0271368,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271318,DDB_G0271318,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271370,DDB_G0271370,tRNA guanosine-2'-O-methyltransferase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271372,DDB_G0271372,TIF1 family protein kinase,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271316,DDB_G0271316,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271314,iliH,"Endo-1,4-beta-glucanase family protein, glycoside hydrolase family 9 protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271312,sf3b5,"splicing factor 3B subunit 5, splicing factor 3B subunit 10 family protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271310,ucpA,"transmembrane protein, mitochondrial substrate carrier family protein, putative mitochondrial oxaloacetate transporter",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271308,DDB_G0271308,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271306,nmd3,60S ribosomal export protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271304,DDB_G0271304,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271148,rps25,40S ribosomal protein S25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DDB_G0271374,DDB_G0271374,Glycerophosphodiester phosphodiesterase domain-containing protein 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271302,DDB_G0271302,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DDB_G0271300,DDB_G0271300,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271298,rpl27,S60 ribosomal protein L27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DDB_G0271296,DDB_G0271296,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271294,DDB_G0271294,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271376,DDB_G0271376,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271292,DDB_G0271292,NAP (nucleosome assembly protein) family protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271378,DDB_G0271378,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271290,DDB_G0271290,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0295817,DDB_G0295817,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271288,DDB_G0271288,NPR2 family protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271286,clasp,CLIP-associating protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DDB_G0271380,DDB_G0271380_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271282,csn7,"proteasome component region PCI (PINT) domain-containing protein, COP9 signalosome complex subunit 7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271280,DDB_G0271280,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271276,DDB_G0271276_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271384,DDB_G0271384,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271274,DDB_G0271274,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271272,DDB_G0271272,DNA polymerase V family protein,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271270,DDB_G0271270,beta-lactamase-like domain-containing protein,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271268,DDB_G0271268,Uncharacterized N-acetyltransferase yncA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271266,DDB_G0271266,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271264,usp14,"ubiquitin domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271386,DDB_G0271386,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271260,DDB_G0271260,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271138,abcA8,ABC transporter A family protein,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DDB_G0271140,abcA7,ABC transporter A family protein,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DDB_G0271388,cog8,"oligomeric Golgi complex component, Dor1-like protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271390,DDB_G0271390_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271256,DDB_G0271256_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271392,DDB_G0271392_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271254,DDB_G0271254,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271394,DDB_G0271394,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DDB_G0271252,DDB_G0271252,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271396,DDB_G0271396,"ribonuclease PH family, putative exosome complex exonuclease",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271250,DDB_G0271250,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271144,cnxA,calnexin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271398,mon2,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271248,DDB_G0271248,"Methylmalonic aciduria type A protein, mitochondrial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271400,dcc1,sister chromatid cohesion protein Dcc1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
DDB_G0271246,med19,putative mediator complex subunit 19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271244,DDB_G0271244,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271242,bpiC,bactericidal permeability-increasing family protein C,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DDB_G0271240,utp18,"WD40 repeat-containing protein, U3 snoRNP protein, U3 small nucleolar ribonucleoprotein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271402,DDB_G0271402,"LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271238,DDB_G0271238,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271236,DDB_G0271236_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271234,dduB,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0271232,DDB_G0271232_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
